"CountryCode","Country","RegionCode","Region","City","Location","Address","Venue","ZipCode"
"AE","United Arab Emirates","","Nationwide","Dubai","Al Ghurair City - Caribou Coffee","Al Ghurair City 2nd Floor","RESTAURANT",""
"AE","United Arab Emirates","","Nationwide","Dubai","Better Homes","Le Meridien Mina Seyahi 1","Miscellaneous",""
"AE","United Arab Emirates","","Nationwide","Dubai","Caribou Coffee","dubai dubai","RESTAURANT",""
"AE","United Arab Emirates","","Nationwide","Dubai","almaz","dubai dubai","RESTAURANT",""
"AN","Netherlands Antilles","","Nationwide","Cupe Coy","The Expresso Coffee House","AUC - American University of the Caribbean","MISC",""
"AN","Netherlands Antilles","","Nationwide","Philipsburg","Great Bay Water Front","Holland House Hotel","MISC",""
"AN","Netherlands Antilles","","Nationwide","Simpsonbay","PLPA Marina","Palapa Marina","MISC",""
"AN","Netherlands Antilles","","Nationwide","St. Maarten","PDPN Marina","Princess Port de Plaisance Marina","MISC",""
"AR","Argentina","","Nationwide","Buenos Aires","Cafe Martinez - Talcahuano (Buenos Aires)","Rua Talcahuano","Cafe/Restaurant/Food",""
"AR","Argentina","","Nationwide","Buenos Aires","Croque Madame - Del Libertador (Buenos Aires)","Av. del Libertador 1902","Cafe/Restaurant/Food",""
